,source_idx,Error
0,13,"ParserError: Expected ';' but got '}'
  --> contracts/sample_13.sol:11:60:
   |
11 |     modifier onlyOwner { if (msg.sender != owner) throw; _ }
   |                                                            ^"
1,75,"
ParserError: Expected '{' but got 'constant'
 --> contracts/sample_75.sol:3:28:
  |
3 |     function totalSupply() constant returns (uint256 supply) {}
  |                            ^^^^^^^^"
2,79,"
ParserError: Expected a state variable declaration. If you intended this as a fallback function or a function to handle plain ether transactions, use the ""fallback"" keyword or the ""receive"" keyword instead.
   --> contracts/sample_79.sol:146:32:
    |
146 |   function () external payable {
    |                                ^"
3,80,"
ParserError: Expected a state variable declaration. If you intended this as a fallback function or a function to handle plain ether transactions, use the ""fallback"" keyword or the ""receive"" keyword instead.
  --> contracts/sample_80.sol:46:30:
   |
46 |     function() public payable{}
   |                              ^"
4,92,"
ParserError: Expected pragma, import directive or contract/interface/library/struct/enum/constant/function definition.
 --> contracts/sample_92.sol:1:1:
  |
1 | @v4.5.0
  | ^"
5,47,"contracts/sample_47.sol:5:26: DeclarationError: Identifier not found or not unique.
contract SpaceReavers is ERC721,Ownable {
                         ^----^"
6,20,"contracts/sample_20.sol:17:19: DeclarationError: Identifier not found or not unique.
contract ERC20 is IERC20 {
                  ^----^"
7,20,"contracts/sample_20.sol:18:11: DeclarationError: Identifier not found or not unique.
    using SafeMath for uint256;
          ^------^"
8,77,"contracts/sample_77.sol:20:11: DeclarationError: Identifier not found or not unique.
    using Address for address;
          ^-----^"
9,39,"contracts/sample_39.sol:6:29: DeclarationError: Identifier not found or not unique.
contract DfWalletFactory is Ownable, CloneFactory {
                            ^-----^"
10,39,"contracts/sample_39.sol:6:38: DeclarationError: Identifier not found or not unique.
contract DfWalletFactory is Ownable, CloneFactory {
                                     ^----------^"
11,39,"contracts/sample_39.sol:16:64: DeclarationError: Undeclared identifier.
    function setLibraryAddress(address _libraryAddress) public onlyOwner {
                                                               ^-------^"
