code,nl
"function sendEther ( address to , uint value ) external onlymanyowners ( keccak256 ( msg . data ) ) { require ( address ( 0 ) != to ) ; require ( value > 0 && this . balance >= value ) ; to . transfer ( value ) ; EtherSent ( to , value ) ; }
","Send ` value ` of ether to address ` to `
"
"function isReadyToMate ( uint256 _ponyId ) public view returns ( bool ) { require ( _ponyId > 0 ) ; Pony storage pon = ponies [ _ponyId ] ; return _isReadyToMate ( pon ) ; }
","Checks that a given pony is able to breed ( i.e .
"
"function allowance ( address _owner , address _spender ) constant public returns ( uint256 remaining ) { return allowed [ _owner ] [ _spender ] ; }
","Returns the amount which _spender is still allowed to withdraw from _owner
"
"function isValidator ( ) external view returns ( bool ) { uint256 totalValidators = _jurisdiction . countValidators ( ) ; for ( uint256 i = 0 ; i < totalValidators ; i ++ ) { address validator = _jurisdiction . getValidator ( i ) ; if ( validator == address ( this ) ) { return true ; } } return false ; }
","Check if contract is assigned as a validator on the jurisdiction .
"
"function issueAttribute ( address account , uint256 attributeTypeID , uint256 value ) external payable whenNotPaused { require ( msg . value == 0 , ""Basic jurisdictions do not support payments when assigning attributes"" ) ; require ( canValidate ( msg . sender , attributeTypeID ) , ""only approved validators may assign attributes of this type"" ) ; require ( _issuedAttributes [ account ] [ attributeTypeID ] . validator == address ( 0 ) , ""duplicate attributes are not supported, remove existing attribute first"" ) ; _issuedAttributes [ account ] [ attributeTypeID ] = IssuedAttribute ( { exists : true , validator : msg . sender , value : value } ) ; emit AttributeAdded ( msg . sender , account , attributeTypeID , value ) ; }
","Issue an attribute of the type with ID ` attributeTypeID ` and a value of ` value ` to ` account ` if ` message.caller.address ( ) ` is approved validator .
"
"function closeDataResponse ( address seller , bool transactionCompleted ) public onlyOwner validAddress ( seller ) returns ( bool ) { require ( orderStatus != OrderStatus . TransactionCompleted ) ; require ( transactionCompletedAt == 0 ) ; require ( hasSellerBeenAccepted ( seller ) ) ; require ( sellerInfo [ seller ] . status == DataResponseStatus . DataResponseAdded ) ; sellerInfo [ seller ] . status = transactionCompleted ? DataResponseStatus . TransactionCompleted : DataResponseStatus . RefundedToBuyer ; sellerInfo [ seller ] . closedAt = uint32 ( block . timestamp ) ; return true ; }
","Closes a DataResponse .
"
"function deposit ( uint256 amount ) returns ( bool ) { bool success ; uint256 balance ; ( success , balance ) = data . deposit ( amount ) ; if ( success == true ) { ChannelNewBalance ( data . token , msg . sender , balance , block . number ) ; } return success ; }
","Caller makes a deposit into their channel balance .
"
"function lockAndDistributeTokens ( address _tokenHolder , uint256 _amount , uint256 _percentageToLock , uint256 _unlockTime ) public onlyOwner { requireMultiple ( _amount ) ; require ( _percentageToLock <= 100 && _percentageToLock > 0 , ""You can only lock a percentage between 0 and 100."" ) ; require ( mLockedBalances [ _tokenHolder ] . amount == 0 , ""You can only lock one amount of tokens for a given address. It is currently indicating that there are already locked tokens for this address."" ) ; uint256 amountToLock = _amount . mul ( _percentageToLock ) . div ( 100 ) ; mBalances [ msg . sender ] = mBalances [ msg . sender ] . sub ( _amount ) ; mBalances [ _tokenHolder ] = mBalances [ _tokenHolder ] . add ( _amount ) ; mLockedBalances [ _tokenHolder ] = lockedTokens ( { amount : amountToLock , timeLockedUntil : _unlockTime } ) ; callRecipient ( msg . sender , 0x0 , _tokenHolder , _amount , """" , """" , true ) ; emit LockedTokens ( _tokenHolder , amountToLock , _unlockTime ) ; if ( mErc20compatible ) { emit Transfer ( 0x0 , _tokenHolder , _amount ) ; } }
","locks a percentage of tokens for a specified time period and then grants ownership to the specified owner
"
"function trade ( TradeInput tradeInput ) internal returns ( uint ) { require ( isEnabled ) ; require ( tx . gasprice <= maxGasPriceValue ) ; require ( validateTradeInput ( tradeInput . src , tradeInput . srcAmount , tradeInput . dest , tradeInput . destAddress ) ) ; BestRateResult memory rateResult = findBestRateTokenToToken ( tradeInput . src , tradeInput . dest , tradeInput . srcAmount ) ; require ( rateResult . rate > 0 ) ; require ( rateResult . rate < MAX_RATE ) ; require ( rateResult . rate >= tradeInput . minConversionRate ) ; uint actualDestAmount ; uint weiAmount ; uint actualSrcAmount ; ( actualSrcAmount , weiAmount , actualDestAmount ) = calcActualAmounts ( tradeInput . src , tradeInput . dest , tradeInput . srcAmount , tradeInput . maxDestAmount , rateResult ) ; if ( actualSrcAmount < tradeInput . srcAmount ) { if ( tradeInput . src == ETH_TOKEN_ADDRESS ) { tradeInput . trader . transfer ( tradeInput . srcAmount - actualSrcAmount ) ; } else { tradeInput . src . transfer ( tradeInput . trader , ( tradeInput . srcAmount - actualSrcAmount ) ) ; } } require ( weiAmount <= getUserCapInWei ( tradeInput . trader ) ) ; require ( doReserveTrade ( tradeInput . src , actualSrcAmount , ETH_TOKEN_ADDRESS , this , weiAmount , KyberReserveInterface ( rateResult . reserve1 ) , rateResult . rateSrcToEth , true ) ) ; require ( doReserveTrade ( ETH_TOKEN_ADDRESS , weiAmount , tradeInput . dest , tradeInput . destAddress , actualDestAmount , KyberReserveInterface ( rateResult . reserve2 ) , rateResult . rateEthToDest , true ) ) ; if ( tradeInput . src != ETH_TOKEN_ADDRESS ) require ( feeBurnerContract . handleFees ( weiAmount , rateResult . reserve1 , tradeInput . walletId ) ) ; if ( tradeInput . dest != ETH_TOKEN_ADDRESS ) require ( feeBurnerContract . handleFees ( weiAmount , rateResult . reserve2 , tradeInput . walletId ) ) ; KyberTrade ( tradeInput . trader , tradeInput . src , actualSrcAmount , tradeInput . destAddress , tradeInput . dest , actualDestAmount ) ; return actualDestAmount ; }
","use token address ETH_TOKEN_ADDRESS for ether
"
"function revoke ( ERC20 token ) public onlyOwner { require ( revocable ) ; require ( ! revoked [ token ] ) ; uint256 balance = token . balanceOf ( this ) ; uint256 unreleased = releasableAmount ( token ) ; uint256 refund = balance . sub ( unreleased ) ; revoked [ token ] = true ; token . safeTransfer ( owner , refund ) ; emit Revoked ( ) ; }
","Allows the owner to revoke the vesting .
"
